id,levels,terms
1,positive,a+
2,positive,abound
3,positive,abounds
4,positive,abundance
5,positive,abundant
6,positive,accessable
7,positive,accessible
8,positive,acclaim
9,positive,acclaimed
10,positive,acclamation
11,positive,accolade
12,positive,accolades
13,positive,accommodative
14,positive,accomodative
15,positive,accomplish
16,positive,accomplished
17,positive,accomplishment
18,positive,accomplishments
19,positive,accurate
20,positive,accurately
21,positive,achievable
22,positive,achievement
23,positive,achievements
24,positive,achievible
25,positive,acumen
26,positive,adaptable
27,positive,adaptive
28,positive,adequate
29,positive,adjustable
30,positive,admirable
31,positive,admirably
32,positive,admiration
33,positive,admire
34,positive,admirer
35,positive,admiring
36,positive,admiringly
37,positive,adorable
38,positive,adore
39,positive,adored
40,positive,adorer
41,positive,adoring
42,positive,adoringly
43,positive,adroit
44,positive,adroitly
45,positive,adulate
46,positive,adulation
47,positive,adulatory
48,positive,advanced
49,positive,advantage
50,positive,advantageous
51,positive,advantageously
52,positive,advantages
53,positive,adventuresome
54,positive,adventurous
55,positive,advocate
56,positive,advocated
57,positive,advocates
58,positive,affability
59,positive,affable
60,positive,affably
61,positive,affectation
62,positive,affection
63,positive,affectionate
64,positive,affinity
65,positive,affirm
66,positive,affirmation
67,positive,affirmative
68,positive,affluence
69,positive,affluent
70,positive,afford
71,positive,affordable
72,positive,affordably
73,positive,afordable
74,positive,agile
75,positive,agilely
76,positive,agility
77,positive,agreeable
78,positive,agreeableness
79,positive,agreeably
80,positive,all-around
81,positive,alluring
82,positive,alluringly
83,positive,altruistic
84,positive,altruistically
85,positive,amaze
86,positive,amazed
87,positive,amazement
88,positive,amazes
89,positive,amazing
90,positive,amazingly
91,positive,ambitious
92,positive,ambitiously
93,positive,ameliorate
94,positive,amenable
95,positive,amenity
96,positive,amiability
97,positive,amiabily
98,positive,amiable
99,positive,amicability
100,positive,amicable
101,positive,amicably
102,positive,amity
103,positive,ample
104,positive,amply
105,positive,amuse
106,positive,amusing
107,positive,amusingly
108,positive,angel
109,positive,angelic
110,positive,apotheosis
111,positive,appeal
112,positive,appealing
113,positive,applaud
114,positive,appreciable
115,positive,appreciate
116,positive,appreciated
117,positive,appreciates
118,positive,appreciative
119,positive,appreciatively
120,positive,appropriate
121,positive,approval
122,positive,approve
123,positive,ardent
124,positive,ardently
125,positive,ardor
126,positive,articulate
127,positive,aspiration
128,positive,aspirations
129,positive,aspire
130,positive,assurance
131,positive,assurances
132,positive,assure
133,positive,assuredly
134,positive,assuring
135,positive,astonish
136,positive,astonished
137,positive,astonishing
138,positive,astonishingly
139,positive,astonishment
140,positive,astound
141,positive,astounded
142,positive,astounding
143,positive,astoundingly
144,positive,astutely
145,positive,attentive
146,positive,attraction
147,positive,attractive
148,positive,attractively
149,positive,attune
150,positive,audible
151,positive,audibly
152,positive,auspicious
153,positive,authentic
154,positive,authoritative
155,positive,autonomous
156,positive,available
157,positive,aver
158,positive,avid
159,positive,avidly
160,positive,award
161,positive,awarded
162,positive,awards
163,positive,awe
164,positive,awed
165,positive,awesome
166,positive,awesomely
167,positive,awesomeness
168,positive,awestruck
169,positive,awsome
170,positive,backbone
171,positive,balanced
172,positive,bargain
173,positive,beauteous
174,positive,beautiful
175,positive,beautifullly
176,positive,beautifully
177,positive,beautify
178,positive,beauty
179,positive,beckon
180,positive,beckoned
181,positive,beckoning
182,positive,beckons
183,positive,believable
184,positive,believeable
185,positive,beloved
186,positive,benefactor
187,positive,beneficent
188,positive,beneficial
189,positive,beneficially
190,positive,beneficiary
191,positive,benefit
192,positive,benefits
193,positive,benevolence
194,positive,benevolent
195,positive,benifits
196,positive,best
197,positive,best-known
198,positive,best-performing
199,positive,best-selling
200,positive,better
201,positive,better-known
202,positive,better-than-expected
203,positive,beutifully
204,positive,blameless
205,positive,bless
206,positive,blessing
207,positive,bliss
208,positive,blissful
209,positive,blissfully
210,positive,blithe
211,positive,blockbuster
212,positive,bloom
213,positive,blossom
214,positive,bolster
215,positive,bonny
216,positive,bonus
217,positive,bonuses
218,positive,boom
219,positive,booming
220,positive,boost
221,positive,boundless
222,positive,bountiful
223,positive,brainiest
224,positive,brainy
225,positive,brand-new
226,positive,brave
227,positive,bravery
228,positive,bravo
229,positive,breakthrough
230,positive,breakthroughs
231,positive,breathlessness
232,positive,breathtaking
233,positive,breathtakingly
234,positive,breeze
235,positive,bright
236,positive,brighten
237,positive,brighter
238,positive,brightest
239,positive,brilliance
240,positive,brilliances
241,positive,brilliant
242,positive,brilliantly
243,positive,brisk
244,positive,brotherly
245,positive,bullish
246,positive,buoyant
247,positive,cajole
248,positive,calm
249,positive,calming
250,positive,calmness
251,positive,capability
252,positive,capable
253,positive,capably
254,positive,captivate
255,positive,captivating
256,positive,carefree
257,positive,cashback
258,positive,cashbacks
259,positive,catchy
260,positive,celebrate
261,positive,celebrated
262,positive,celebration
263,positive,celebratory
264,positive,champ
265,positive,champion
266,positive,charisma
267,positive,charismatic
268,positive,charitable
269,positive,charm
270,positive,charming
271,positive,charmingly
272,positive,chaste
273,positive,cheaper
274,positive,cheapest
275,positive,cheer
276,positive,cheerful
277,positive,cheery
278,positive,cherish
279,positive,cherished
280,positive,cherub
281,positive,chic
282,positive,chivalrous
283,positive,chivalry
284,positive,civility
285,positive,civilize
286,positive,clarity
287,positive,classic
288,positive,classy
289,positive,clean
290,positive,cleaner
291,positive,cleanest
292,positive,cleanliness
293,positive,cleanly
294,positive,clear
295,positive,clear-cut
296,positive,cleared
297,positive,clearer
298,positive,clearly
299,positive,clears
300,positive,clever
301,positive,cleverly
302,positive,cohere
303,positive,coherence
304,positive,coherent
305,positive,cohesive
306,positive,colorful
307,positive,comely
308,positive,comfort
309,positive,comfortable
310,positive,comfortably
311,positive,comforting
312,positive,comfy
313,positive,commend
314,positive,commendable
315,positive,commendably
316,positive,commitment
317,positive,commodious
318,positive,compact
319,positive,compactly
320,positive,compassion
321,positive,compassionate
322,positive,compatible
323,positive,competitive
324,positive,complement
325,positive,complementary
326,positive,complemented
327,positive,complements
328,positive,compliant
329,positive,compliment
330,positive,complimentary
331,positive,comprehensive
332,positive,conciliate
333,positive,conciliatory
334,positive,concise
335,positive,confidence
336,positive,confident
337,positive,congenial
338,positive,congratulate
339,positive,congratulation
340,positive,congratulations
341,positive,congratulatory
342,positive,conscientious
343,positive,considerate
344,positive,consistent
345,positive,consistently
346,positive,constructive
347,positive,consummate
348,positive,contentment
349,positive,continuity
350,positive,contrasty
351,positive,contribution
352,positive,convenience
353,positive,convenient
354,positive,conveniently
355,positive,convience
356,positive,convienient
357,positive,convient
358,positive,convincing
359,positive,convincingly
360,positive,cool
361,positive,coolest
362,positive,cooperative
363,positive,cooperatively
364,positive,cornerstone
365,positive,correct
366,positive,correctly
367,positive,cost-effective
368,positive,cost-saving
369,positive,counter-attack
370,positive,counter-attacks
371,positive,courage
372,positive,courageous
373,positive,courageously
374,positive,courageousness
375,positive,courteous
376,positive,courtly
377,positive,covenant
378,positive,cozy
379,positive,creative
380,positive,credence
381,positive,credible
382,positive,crisp
383,positive,crisper
384,positive,cure
385,positive,cure-all
386,positive,cushy
387,positive,cute
388,positive,cuteness
389,positive,danke
390,positive,danken
391,positive,daring
392,positive,daringly
393,positive,darling
394,positive,dashing
395,positive,dauntless
396,positive,dawn
397,positive,dazzle
398,positive,dazzled
399,positive,dazzling
400,positive,dead-cheap
401,positive,dead-on
402,positive,decency
403,positive,decent
404,positive,decisive
405,positive,decisiveness
406,positive,dedicated
407,positive,defeat
408,positive,defeated
409,positive,defeating
410,positive,defeats
411,positive,defender
412,positive,deference
413,positive,deft
414,positive,deginified
415,positive,delectable
416,positive,delicacy
417,positive,delicate
418,positive,delicious
419,positive,delight
420,positive,delighted
421,positive,delightful
422,positive,delightfully
423,positive,delightfulness
424,positive,dependable
425,positive,dependably
426,positive,deservedly
427,positive,deserving
428,positive,desirable
429,positive,desiring
430,positive,desirous
431,positive,destiny
432,positive,detachable
433,positive,devout
434,positive,dexterous
435,positive,dexterously
436,positive,dextrous
437,positive,dignified
438,positive,dignify
439,positive,dignity
440,positive,diligence
441,positive,diligent
442,positive,diligently
443,positive,diplomatic
444,positive,dirt-cheap
445,positive,distinction
446,positive,distinctive
447,positive,distinguished
448,positive,diversified
449,positive,divine
450,positive,divinely
451,positive,dominate
452,positive,dominated
453,positive,dominates
454,positive,dote
455,positive,dotingly
456,positive,doubtless
457,positive,dreamland
458,positive,dumbfounded
459,positive,dumbfounding
460,positive,dummy-proof
461,positive,durable
462,positive,dynamic
463,positive,eager
464,positive,eagerly
465,positive,eagerness
466,positive,earnest
467,positive,earnestly
468,positive,earnestness
469,positive,ease
470,positive,eased
471,positive,eases
472,positive,easier
473,positive,easiest
474,positive,easiness
475,positive,easing
476,positive,easy
477,positive,easy-to-use
478,positive,easygoing
479,positive,ebullience
480,positive,ebullient
481,positive,ebulliently
482,positive,ecenomical
483,positive,economical
484,positive,ecstasies
485,positive,ecstasy
486,positive,ecstatic
487,positive,ecstatically
488,positive,edify
489,positive,educated
490,positive,effective
491,positive,effectively
492,positive,effectiveness
493,positive,effectual
494,positive,efficacious
495,positive,efficient
496,positive,efficiently
497,positive,effortless
498,positive,effortlessly
499,positive,effusion
500,positive,effusive
501,positive,effusively
502,positive,effusiveness
503,positive,elan
504,positive,elate
505,positive,elated
506,positive,elatedly
507,positive,elation
508,positive,electrify
509,positive,elegance
510,positive,elegant
511,positive,elegantly
512,positive,elevate
513,positive,elite
514,positive,eloquence
515,positive,eloquent
516,positive,eloquently
517,positive,embolden
518,positive,eminence
519,positive,eminent
520,positive,empathize
521,positive,empathy
522,positive,empower
523,positive,empowerment
524,positive,enchant
525,positive,enchanted
526,positive,enchanting
527,positive,enchantingly
528,positive,encourage
529,positive,encouragement
530,positive,encouraging
531,positive,encouragingly
532,positive,endear
533,positive,endearing
534,positive,endorse
535,positive,endorsed
536,positive,endorsement
537,positive,endorses
538,positive,endorsing
539,positive,energetic
540,positive,energize
541,positive,energy-efficient
542,positive,energy-saving
543,positive,engaging
544,positive,engrossing
545,positive,enhance
546,positive,enhanced
547,positive,enhancement
548,positive,enhances
549,positive,enjoy
550,positive,enjoyable
551,positive,enjoyably
552,positive,enjoyed
553,positive,enjoying
554,positive,enjoyment
555,positive,enjoys
556,positive,enlighten
557,positive,enlightenment
558,positive,enliven
559,positive,ennoble
560,positive,enough
561,positive,enrapt
562,positive,enrapture
563,positive,enraptured
564,positive,enrich
565,positive,enrichment
566,positive,enterprising
567,positive,entertain
568,positive,entertaining
569,positive,entertains
570,positive,enthral
571,positive,enthrall
572,positive,enthralled
573,positive,enthuse
574,positive,enthusiasm
575,positive,enthusiast
576,positive,enthusiastic
577,positive,enthusiastically
578,positive,entice
579,positive,enticed
580,positive,enticing
581,positive,enticingly
582,positive,entranced
583,positive,entrancing
584,positive,entrust
585,positive,enviable
586,positive,enviably
587,positive,envious
588,positive,enviously
589,positive,enviousness
590,positive,envy
591,positive,equitable
592,positive,ergonomical
593,positive,err-free
594,positive,erudite
595,positive,ethical
596,positive,eulogize
597,positive,euphoria
598,positive,euphoric
599,positive,euphorically
600,positive,evaluative
601,positive,evenly
602,positive,eventful
603,positive,everlasting
604,positive,evocative
605,positive,exalt
606,positive,exaltation
607,positive,exalted
608,positive,exaltedly
609,positive,exalting
610,positive,exaltingly
611,positive,examplar
612,positive,examplary
613,positive,excallent
614,positive,exceed
615,positive,exceeded
616,positive,exceeding
617,positive,exceedingly
618,positive,exceeds
619,positive,excel
620,positive,exceled
621,positive,excelent
622,positive,excellant
623,positive,excelled
624,positive,excellence
625,positive,excellency
626,positive,excellent
627,positive,excellently
628,positive,excels
629,positive,exceptional
630,positive,exceptionally
631,positive,excite
632,positive,excited
633,positive,excitedly
634,positive,excitedness
635,positive,excitement
636,positive,excites
637,positive,exciting
638,positive,excitingly
639,positive,exellent
640,positive,exemplar
641,positive,exemplary
642,positive,exhilarate
643,positive,exhilarating
644,positive,exhilaratingly
645,positive,exhilaration
646,positive,exonerate
647,positive,expansive
648,positive,expeditiously
649,positive,expertly
650,positive,exquisite
651,positive,exquisitely
652,positive,extol
653,positive,extoll
654,positive,extraordinarily
655,positive,extraordinary
656,positive,exuberance
657,positive,exuberant
658,positive,exuberantly
659,positive,exult
660,positive,exultant
661,positive,exultation
662,positive,exultingly
663,positive,eye-catch
664,positive,eye-catching
665,positive,eyecatch
666,positive,eyecatching
667,positive,fabulous
668,positive,fabulously
669,positive,facilitate
670,positive,fair
671,positive,fairly
672,positive,fairness
673,positive,faith
674,positive,faithful
675,positive,faithfully
676,positive,faithfulness
677,positive,fame
678,positive,famed
679,positive,famous
680,positive,famously
681,positive,fancier
682,positive,fancinating
683,positive,fancy
684,positive,fanfare
685,positive,fans
686,positive,fantastic
687,positive,fantastically
688,positive,fascinate
689,positive,fascinating
690,positive,fascinatingly
691,positive,fascination
692,positive,fashionable
693,positive,fashionably
694,positive,fast
695,positive,fast-growing
696,positive,fast-paced
697,positive,faster
698,positive,fastest
699,positive,fastest-growing
700,positive,faultless
701,positive,fav
702,positive,fave
703,positive,favor
704,positive,favorable
705,positive,favored
706,positive,favorite
707,positive,favorited
708,positive,favour
709,positive,fearless
710,positive,fearlessly
711,positive,feasible
712,positive,feasibly
713,positive,feat
714,positive,feature-rich
715,positive,fecilitous
716,positive,feisty
717,positive,felicitate
718,positive,felicitous
719,positive,felicity
720,positive,fertile
721,positive,fervent
722,positive,fervently
723,positive,fervid
724,positive,fervidly
725,positive,fervor
726,positive,festive
727,positive,fidelity
728,positive,fiery
729,positive,fine
730,positive,fine-looking
731,positive,finely
732,positive,finer
733,positive,finest
734,positive,firmer
735,positive,first-class
736,positive,first-in-class
737,positive,first-rate
738,positive,flashy
739,positive,flatter
740,positive,flattering
741,positive,flatteringly
742,positive,flawless
743,positive,flawlessly
744,positive,flexibility
745,positive,flexible
746,positive,flourish
747,positive,flourishing
748,positive,fluent
749,positive,flutter
750,positive,fond
751,positive,fondly
752,positive,fondness
753,positive,foolproof
754,positive,foremost
755,positive,foresight
756,positive,formidable
757,positive,fortitude
758,positive,fortuitous
759,positive,fortuitously
760,positive,fortunate
761,positive,fortunately
762,positive,fortune
763,positive,fragrant
764,positive,free
765,positive,freed
766,positive,freedom
767,positive,freedoms
768,positive,fresh
769,positive,fresher
770,positive,freshest
771,positive,friendliness
772,positive,friendly
773,positive,frolic
774,positive,frugal
775,positive,fruitful
776,positive,ftw
777,positive,fulfillment
778,positive,fun
779,positive,futurestic
780,positive,futuristic
781,positive,gaiety
782,positive,gaily
783,positive,gain
784,positive,gained
785,positive,gainful
786,positive,gainfully
787,positive,gaining
788,positive,gains
789,positive,gallant
790,positive,gallantly
791,positive,galore
792,positive,geekier
793,positive,geeky
794,positive,gem
795,positive,gems
796,positive,generosity
797,positive,generous
798,positive,generously
799,positive,genial
800,positive,genius
801,positive,gentle
802,positive,gentlest
803,positive,genuine
804,positive,gifted
805,positive,glad
806,positive,gladden
807,positive,gladly
808,positive,gladness
809,positive,glamorous
810,positive,glee
811,positive,gleeful
812,positive,gleefully
813,positive,glimmer
814,positive,glimmering
815,positive,glisten
816,positive,glistening
817,positive,glitter
818,positive,glitz
819,positive,glorify
820,positive,glorious
821,positive,gloriously
822,positive,glory
823,positive,glow
824,positive,glowing
825,positive,glowingly
826,positive,god-given
827,positive,god-send
828,positive,godlike
829,positive,godsend
830,positive,gold
831,positive,golden
832,positive,good
833,positive,goodly
834,positive,goodness
835,positive,goodwill
836,positive,goood
837,positive,gooood
838,positive,gorgeous
839,positive,gorgeously
840,positive,grace
841,positive,graceful
842,positive,gracefully
843,positive,gracious
844,positive,graciously
845,positive,graciousness
846,positive,grand
847,positive,grandeur
848,positive,grateful
849,positive,gratefully
850,positive,gratification
851,positive,gratified
852,positive,gratifies
853,positive,gratify
854,positive,gratifying
855,positive,gratifyingly
856,positive,gratitude
857,positive,great
858,positive,greatest
859,positive,greatness
860,positive,grin
861,positive,groundbreaking
862,positive,guarantee
863,positive,guidance
864,positive,guiltless
865,positive,gumption
866,positive,gush
867,positive,gusto
868,positive,gutsy
869,positive,hail
870,positive,halcyon
871,positive,hale
872,positive,hallmark
873,positive,hallmarks
874,positive,hallowed
875,positive,handier
876,positive,handily
877,positive,hands-down
878,positive,handsome
879,positive,handsomely
880,positive,handy
881,positive,happier
882,positive,happily
883,positive,happiness
884,positive,happy
885,positive,hard-working
886,positive,hardier
887,positive,hardy
888,positive,harmless
889,positive,harmonious
890,positive,harmoniously
891,positive,harmonize
892,positive,harmony
893,positive,headway
894,positive,heal
895,positive,healthful
896,positive,healthy
897,positive,hearten
898,positive,heartening
899,positive,heartfelt
900,positive,heartily
901,positive,heartwarming
902,positive,heaven
903,positive,heavenly
904,positive,helped
905,positive,helpful
906,positive,helping
907,positive,hero
908,positive,heroic
909,positive,heroically
910,positive,heroine
911,positive,heroize
912,positive,heros
913,positive,high-quality
914,positive,high-spirited
915,positive,hilarious
916,positive,holy
917,positive,homage
918,positive,honest
919,positive,honesty
920,positive,honor
921,positive,honorable
922,positive,honored
923,positive,honoring
924,positive,hooray
925,positive,hopeful
926,positive,hospitable
927,positive,hot
928,positive,hotcake
929,positive,hotcakes
930,positive,hottest
931,positive,hug
932,positive,humane
933,positive,humble
934,positive,humility
935,positive,humor
936,positive,humorous
937,positive,humorously
938,positive,humour
939,positive,humourous
940,positive,ideal
941,positive,idealize
942,positive,ideally
943,positive,idol
944,positive,idolize
945,positive,idolized
946,positive,idyllic
947,positive,illuminate
948,positive,illuminati
949,positive,illuminating
950,positive,illumine
951,positive,illustrious
952,positive,ilu
953,positive,imaculate
954,positive,imaginative
955,positive,immaculate
956,positive,immaculately
957,positive,immense
958,positive,impartial
959,positive,impartiality
960,positive,impartially
961,positive,impassioned
962,positive,impeccable
963,positive,impeccably
964,positive,important
965,positive,impress
966,positive,impressed
967,positive,impresses
968,positive,impressive
969,positive,impressively
970,positive,impressiveness
971,positive,improve
972,positive,improved
973,positive,improvement
974,positive,improvements
975,positive,improves
976,positive,improving
977,positive,incredible
978,positive,incredibly
979,positive,indebted
980,positive,individualized
981,positive,indulgence
982,positive,indulgent
983,positive,industrious
984,positive,inestimable
985,positive,inestimably
986,positive,inexpensive
987,positive,infallibility
988,positive,infallible
989,positive,infallibly
990,positive,influential
991,positive,ingenious
992,positive,ingeniously
993,positive,ingenuity
994,positive,ingenuous
995,positive,ingenuously
996,positive,innocuous
997,positive,innovation
998,positive,innovative
999,positive,inpressed
1000,positive,insightful
1001,positive,insightfully
1002,positive,inspiration
1003,positive,inspirational
1004,positive,inspire
1005,positive,inspiring
1006,positive,instantly
1007,positive,instructive
1008,positive,instrumental
1009,positive,integral
1010,positive,integrated
1011,positive,intelligence
1012,positive,intelligent
1013,positive,intelligible
1014,positive,interesting
1015,positive,interests
1016,positive,intimacy
1017,positive,intimate
1018,positive,intricate
1019,positive,intrigue
1020,positive,intriguing
1021,positive,intriguingly
1022,positive,intuitive
1023,positive,invaluable
1024,positive,invaluablely
1025,positive,inventive
1026,positive,invigorate
1027,positive,invigorating
1028,positive,invincibility
1029,positive,invincible
1030,positive,inviolable
1031,positive,inviolate
1032,positive,invulnerable
1033,positive,irreplaceable
1034,positive,irreproachable
1035,positive,irresistible
1036,positive,irresistibly
1037,positive,issue-free
1038,positive,jaw-droping
1039,positive,jaw-dropping
1040,positive,jollify
1041,positive,jolly
1042,positive,jovial
