1	"i am a software engineer and am very keen into technical details of everything i buy , i spend around 3 months before buying the digital camera ; and i must say , g3 worth every single cent i spent on it .',"
2	" some things that i did nt like ( but hey . nothing is perfect ).',"
3	" main dial is not backlit . ',"
4	"canon g3 ? incredible camera',"
5	 still i am a little suprised that canon did not correct this design flaw before releasing the camera . 
6	" the photo quality is amazing and i know i m going to have fun with all the features .',"
7	"It was bad and utter waste',"
8	"i ve figured out most of its features on my own already ',"
9	" excellent for the semi-serious amateur',"
10	" its focusing system is also very flexible .',"
11	"you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus .',"
12	" quite bulky and uses a heavy battery',"
13	" fantastic digital camera ',"
14	" the camera has a wonderful set of features .',"
15	" you can even take a picture of yourself while looking at the lcd . ',"
16	"the best of everything ',"
17	do n't get fooled by the 5 megapixel marketing hype . 
18	"i would recommend a larger compact-flash card , at least 128 mb ."
19	"this is my first digital camera , and i am very pleased with it ."
20	"if you are looking for a very simple point and shoot camera , this is probably not what you are looking for . "
21	i highly recommend it .
22	i am still trying to figure out the may options it has .
23	ok for a digital camera
24	"maybe it is my lack of experience , but i found shots with this camera very disappointing . "
25	the grain was terrible
26	my girlfriend loved using this camera so much as a point and shoot that i had to pry it out of her hands most of the time . 
